ensembl_gene_id	n_pubmed_ids
ENSG00000073605	60
ENSG00000073614	74
ENSG00000073670	15
ENSG00000073711	46
ENSG00000073712	72
ENSG00000073734	126
ENSG00000073737	19
ENSG00000073754	30
ENSG00000073756	2078
ENSG00000073792	185
ENSG00000073803	17
ENSG00000073849	93
ENSG00000073861	188
ENSG00000073910	19
ENSG00000073921	125
ENSG00000073969	92
ENSG00000074047	149
ENSG00000074054	68
ENSG00000074071	34
ENSG00000074181	337
ENSG00000074201	64
ENSG00000074211	42
ENSG00000074219	29
ENSG00000074266	92
ENSG00000074276	15
ENSG00000074317	60
ENSG00000074319	274
ENSG00000074356	23
ENSG00000074370	52
ENSG00000074410	53
ENSG00000074416	58
ENSG00000074527	38
ENSG00000074582	44
ENSG00000074590	46
ENSG00000074603	33
ENSG00000074621	19
ENSG00000074657	10
