orf_id_a	orf_id_b	result	experiment	source
4259	7954	0.0	testing_y2h_v1	test_space_y2h_v1
4259	10016		testing_y2h_v1	test_space_y2h_v1
4265	4687		testing_y2h_v3	Lit_BM_13
4265	4687	0.0	testing_y2h_v1	Lit_BM_13
4265	4687	0.0	testing_y2h_v2	Lit_BM_13
4265	54172		testing_y2h_v3	Lit_BM_13
4265	54172	1.0	testing_y2h_v1	Lit_BM_13
4265	54172	1.0	testing_y2h_v2	Lit_BM_13
4268	4695	0.0	testing_y2h_v2	test_space_y2h_v2
4287	9286		testing_y2h_v3	RRS
4287	9286	0.0	testing_y2h_v1	RRS
4287	9286	0.0	testing_y2h_v2	RRS
4309	6446	0.0	testing_y2h_v3	test_space_y2h_v3
4309	13641		testing_y2h_v3	test_space_y2h_v3
4359	7312	1.0	testing_y2h_v3	test_space_y2h_v3
4359	13026	0.0	testing_y2h_v3	RRS
4359	13026	0.0	testing_y2h_v1	RRS
4384	5363	1.0	testing_y2h_v3	Lit_BM_13
4384	5363	1.0	testing_y2h_v1	Lit_BM_13
4384	5363	1.0	testing_y2h_v2	Lit_BM_13
4384	6953	0.0	testing_y2h_v1	test_space_y2h_v1
4417	9592	0.0	testing_y2h_v3	RRS
4417	9592	0.0	testing_y2h_v1	RRS
4417	9592	0.0	testing_y2h_v2	RRS
4417	40080647	0.0	testing_y2h_v3	RRS
4417	40080647	0.0	testing_y2h_v1	RRS
4417	40080647	0.0	testing_y2h_v2	RRS
4421	6231	0.0	testing_y2h_v2	test_space_y2h_v2
4421	6446		testing_y2h_v3	test_space_y2h_v3
4421	11816		testing_y2h_v2	test_space_y2h_v2
4430	4516	0.0	testing_y2h_v1	test_space_y2h_v1
4430	5897	1.0	testing_y2h_v1	test_space_y2h_v1
4430	6325	0.0	testing_y2h_v3	RRS
4430	6325	0.0	testing_y2h_v1	RRS
4430	7804	0.0	testing_y2h_v1	test_space_y2h_v1
4430	9068	0.0	testing_y2h_v3	test_space_y2h_v3
4430	9637		testing_y2h_v1	test_space_y2h_v1
4430	54491	1.0	testing_y2h_v3	test_space_y2h_v3
4447	100000265	0.0	testing_y2h_v3	test_space_y2h_v3
4584	13662	0.0	testing_y2h_v1	test_space_y2h_v1
4689	5942	0.0	testing_y2h_v1	test_space_y2h_v1
4689	8028	0.0	testing_y2h_v1	test_space_y2h_v1
4689	53120		testing_y2h_v3	Lit_BM_13
4689	53120	0.0	testing_y2h_v1	Lit_BM_13
4689	53120	0.0	testing_y2h_v2	Lit_BM_13
4755	6319	0.0	testing_y2h_v1	test_space_y2h_v1
4755	7258	0.0	testing_y2h_v1	test_space_y2h_v1
4755	14983	0.0	testing_y2h_v1	test_space_y2h_v1
4775	6133		testing_y2h_v3	RRS
4775	6133	0.0	testing_y2h_v1	RRS
4775	6133	0.0	testing_y2h_v2	RRS
4775	13662	1.0	testing_y2h_v1	test_space_y2h_v1
4781	6446	0.0	testing_y2h_v3	test_space_y2h_v3
4781	9496		testing_y2h_v3	test_space_y2h_v3
4781	14577	0.0	testing_y2h_v3	test_space_y2h_v3
4781	100014765	0.0	testing_y2h_v3	RRS
4781	100014765	0.0	testing_y2h_v1	RRS
4781	100014765	0.0	testing_y2h_v2	RRS
4792	5448	0.0	testing_y2h_v3	RRS
4792	5448	0.0	testing_y2h_v1	RRS
4792	11858	0.0	testing_y2h_v3	RRS
4792	11858	0.0	testing_y2h_v1	RRS
4795	7208	0.0	testing_y2h_v3	RRS
4795	7208	0.0	testing_y2h_v1	RRS
4795	7208	0.0	testing_y2h_v2	RRS
4798	6710	0.0	testing_y2h_v3	test_space_y2h_v3
4798	7081	0.0	testing_y2h_v2	test_space_y2h_v2
4798	7320	0.0	testing_y2h_v2	test_space_y2h_v2
4798	7404	1.0	testing_y2h_v2	test_space_y2h_v2
4798	7555	0.0	testing_y2h_v2	test_space_y2h_v2
4798	7605	0.0	testing_y2h_v3	test_space_y2h_v3
4798	7682	0.0	testing_y2h_v1	test_space_y2h_v1
4798	7954	0.0	testing_y2h_v1	test_space_y2h_v1
4798	9422	1.0	testing_y2h_v2	test_space_y2h_v2
4798	9637		testing_y2h_v1	test_space_y2h_v1
4798	10016		testing_y2h_v1	test_space_y2h_v1
4798	11396	0.0	testing_y2h_v3	test_space_y2h_v3
4798	13067	0.0	testing_y2h_v1	test_space_y2h_v1
4798	13067	0.0	testing_y2h_v2	test_space_y2h_v2
4798	13232	0.0	testing_y2h_v2	test_space_y2h_v2
4798	13662	1.0	testing_y2h_v1	test_space_y2h_v1
4798	14269		testing_y2h_v3	test_space_y2h_v3
4798	14862	0.0	testing_y2h_v1	test_space_y2h_v1
4798	52849	0.0	testing_y2h_v3	test_space_y2h_v3
4798	54031		testing_y2h_v3	RRS
4798	54031	0.0	testing_y2h_v1	RRS
4798	54031	0.0	testing_y2h_v2	RRS
