ensembl_gene_id_a	ensembl_gene_id_b	assay_id	screens
ENSG00000127191	ENSG00000156050	1	4,5,7,8,9,10,11,12
ENSG00000111077	ENSG00000185522	1	1,4,10
ENSG00000204536	ENSG00000213024	1	1,2,3,4,6,7,8,9,10,11,12
ENSG00000130803	ENSG00000152475	1	1,3,7
ENSG00000114416	ENSG00000165630	1	6
ENSG00000100201	ENSG00000112578	1	11
ENSG00000117475	ENSG00000134480	1	5,9,12
ENSG00000173480	ENSG00000213588	1	6
ENSG00000116830	ENSG00000140262	1	8
ENSG00000150477	ENSG00000186510	1	1,3,6,8,9,11
ENSG00000117475	ENSG00000269699	1	11
ENSG00000117266	ENSG00000137478	1	2
ENSG00000014123	ENSG00000108465	1	1,2,4,5,6,8,9,10,11,12
ENSG00000127191	ENSG00000140259	1	3,12
ENSG00000108010	ENSG00000163170	1	1,5,7,8,9,11,12
ENSG00000177485	ENSG00000198561	1	8,9,12
ENSG00000099812	ENSG00000161405	1	7,8,9,10
ENSG00000138750	ENSG00000213024	1	1,2,4,6,7,8,9,10,12
ENSG00000137478	ENSG00000140259	1	8
ENSG00000156395	ENSG00000163348	1	2,3,5,8,9
ENSG00000187180	ENSG00000241598	1	1,2,4,5,6,7,8,9,10,11,12
ENSG00000156642	ENSG00000197191	1	12
ENSG00000167565	ENSG00000183230	1	9
ENSG00000167110	ENSG00000180530	1	4,7,8,9,11,12
ENSG00000162078	ENSG00000167565	1	3,5,6,9,12
ENSG00000141646	ENSG00000152977	1	7,9,10
ENSG00000124074	ENSG00000197191	1	2,3,4,5,6,7,8,9,10,11,12
ENSG00000100557	ENSG00000167110	1	3,4,5,6,7,8,9,10,11,12
ENSG00000152475	ENSG00000196418	1	11
ENSG00000143442	ENSG00000152430	1	4,7,8
ENSG00000119725	ENSG00000127191	1	2,5,6,8,9,10,11,12
ENSG00000090989	ENSG00000112685	1	1,4,7,11
ENSG00000087338	ENSG00000165630	1	1,6,7,8,9
ENSG00000147144	ENSG00000151338	1	4,7,12
ENSG00000115255	ENSG00000122126	1	1,5,6,7,9
ENSG00000148737	ENSG00000167110	1	1,2
ENSG00000175329	ENSG00000183283	1	5,6,10,12
ENSG00000011275	ENSG00000100441	1	4
ENSG00000129675	ENSG00000167110	1	1,3,4,5,7,8
ENSG00000197256	ENSG00000270765	1	5,11
ENSG00000113558	ENSG00000151876	1	5
ENSG00000167565	ENSG00000282034	1	1,5,6
ENSG00000127191	ENSG00000145945	1	2,3,7,8
ENSG00000002834	ENSG00000152430	1	2,4,5,6,7,8,12
ENSG00000114416	ENSG00000134283	1	3
ENSG00000138750	ENSG00000167565	1	7
ENSG00000127191	ENSG00000175556	1	2
ENSG00000002834	ENSG00000183283	1	2,3,4,5,6,7,8,9,10,12
ENSG00000196924	ENSG00000197191	1	5,11
ENSG00000156973	ENSG00000213465	1	1,2,5,6,7,9,10,12
ENSG00000187180	ENSG00000212721	1	1,2,3,4,5,6,7,8,9,10,11,12
ENSG00000165630	ENSG00000197256	1	1,2,3,4,6,7,8,9,10,11,12
ENSG00000185522	ENSG00000197191	1	8
ENSG00000102119	ENSG00000112578	1	2,10,11,12
ENSG00000115507	ENSG00000157184	1	9
ENSG00000140743	ENSG00000145945	1	1,5,6,7,12
ENSG00000123143	ENSG00000127191	1	2,5,6,7,8,9,10,11,12
ENSG00000115507	ENSG00000212721	1	1,2,3,4,5,7,8,10
ENSG00000103042	ENSG00000204308	1	6,12
ENSG00000099812	ENSG00000167110	1	3,4
ENSG00000055208	ENSG00000167110	1	5,6,10,11
ENSG00000117266	ENSG00000140743	1	8,9,12
ENSG00000147144	ENSG00000187796	1	2,8
ENSG00000161082	ENSG00000183283	1	10,11
ENSG00000139714	ENSG00000161405	1	3,4,10,11,12
ENSG00000165630	ENSG00000197019	1	6
ENSG00000115380	ENSG00000197191	1	1,2,3,5,6,8,9,10,12
ENSG00000103034	ENSG00000115255	1	2,4,5,7,10,12
ENSG00000124074	ENSG00000167110	1	2,3,4,6,7,8,9,10,11,12
ENSG00000115507	ENSG00000182667	1	10
ENSG00000113790	ENSG00000127191	1	2,4,5,6,7,8,10,12
ENSG00000125868	ENSG00000165410	1	1,5,11,12
ENSG00000167110	ENSG00000204209	1	2,3,7,8,10,11
ENSG00000124422	ENSG00000149313	1	11
