standard_batch	source	assay	test_orf_ida	test_orf_idb	final_score
Hvs01	Hs01	GPCA	71609	56518	11.660956961723667
Hvs01	Lit-BM	GPCA	53257	53257	13.231218185084021
Hvs01	Hs01	GPCA	4173	4447	15.23136363026397
Hvs01	RRS	GPCA	13732	55174	10.898045160673405
Hvs01	RRS	GPCA	3642	56866	12.254998498633931
Hvs01	Lit-BM	GPCA	14210	11786	11.768509405467885
Hvs01	Hs01	GPCA	70166	70025	15.867167139307472
Hvs01	Lit-BM	GPCA	10036	208	12.25514799680695
Hvs01	Lit-BM	GPCA	7587	52905	13.148055986171403
Hvs01	RRS	GPCA	54986	10399	12.55669884636346
Hvs01	Lit-BM	GPCA	5516	3700	12.564413531559348
Hvs01	RRS	GPCA	56553	6333	12.944497356755528
Hvs01	Hs01	GPCA	5143	4279	16.49134389029372
Hvs01	Hs01	GPCA	100000407	54115	12.902068662445792
Hvs01	RRS	GPCA	71416	4928	11.175261896433952
Hvs01	Lit-BM	GPCA	14331	801	19.04029033750504
Hvs01	RRS	GPCA	54647	71438	12.718700237808935
Hvs01	Hs01	GPCA	7450	2801	14.671686454698625
Hvs01	Hs01	GPCA	12427	56541	13.886641729474174
Hvs01	Hs01	GPCA	71609	100064144	15.715107311855244
Hvs01	RRS	GPCA	1528	11750	12.627464130660428
Hvs01	Lit-BM	GPCA	5073	7630	17.423640594817215
Hvs01	Hs01	GPCA	14983	925	12.125390055154062
Hvs01	Hs01	GPCA	3898	9891	13.634904133690814
Hvs01	Hs01	GPCA	100016009	416	13.629626098716265
Hvs01	Hs01	GPCA	71178	55351	13.449905156237987
Hvs01	RRS	GPCA	14943	56794	11.086467650215813
Hvs01	RRS	GPCA	2943	71452	12.496399213152788
Hvs01	Lit-BM	GPCA	5181	5181	23.740257414194254
Hvs01	Hs01	GPCA	2362	9231	12.711270211425852
Hvs01	RRS	GPCA	11172	14397	12.625703154238433
Hvs01	RRS	GPCA	2577	464	15.94814466788976
Hvs01	Hs01	GPCA	1668	10101	16.536203913420053
Hvs01	Lit-BM	GPCA	11208	11208	18.2050743597091
Hvs01	Hs01	GPCA	4516	1074	13.576230258135482
Hvs01	Hs01	GPCA	10352	493	18.328447561447135
