ensembl_gene_id_a	ensembl_gene_id_b	n_publications	n_methods	n_evidences
ENSG00000136560	ENSG00000183735	12	5	12
ENSG00000047644	ENSG00000151718	1	2	2
ENSG00000114520	ENSG00000136717	1	2	2
ENSG00000165392	ENSG00000167670	1	2	2
ENSG00000124126	ENSG00000198793	1	4	4
ENSG00000020426	ENSG00000134480	7	5	7
ENSG00000108349	ENSG00000141543	6	5	6
ENSG00000141510	ENSG00000165392	3	3	4
ENSG00000071564	ENSG00000117318	4	3	6
ENSG00000020426	ENSG00000166508	1	2	2
ENSG00000132646	ENSG00000165392	4	3	4
ENSG00000051180	ENSG00000165392	2	3	3
ENSG00000020426	ENSG00000143190	1	2	2
ENSG00000165392	ENSG00000168496	4	4	8
ENSG00000117318	ENSG00000196628	3	3	4
ENSG00000002016	ENSG00000165392	2	5	6
ENSG00000160767	ENSG00000186153	2	3	3
ENSG00000165392	ENSG00000197299	1	3	3
ENSG00000132383	ENSG00000165392	6	6	8
ENSG00000183735	ENSG00000185507	1	2	2
ENSG00000057663	ENSG00000205356	3	5	5
ENSG00000057663	ENSG00000085978	8	5	10
ENSG00000090020	ENSG00000204209	1	2	2
ENSG00000100311	ENSG00000139219	1	2	2
ENSG00000100311	ENSG00000108821	1	2	2
ENSG00000057663	ENSG00000145782	5	4	5
ENSG00000057663	ENSG00000163625	1	4	4
ENSG00000172156	ENSG00000183625	5	3	5
ENSG00000109062	ENSG00000186575	3	2	4
ENSG00000159692	ENSG00000175029	5	3	5
ENSG00000185359	ENSG00000186575	4	3	5
ENSG00000141510	ENSG00000186153	3	3	5
ENSG00000131023	ENSG00000186575	2	4	5
ENSG00000130164	ENSG00000169174	5	7	8
ENSG00000137575	ENSG00000186575	1	2	2
ENSG00000023287	ENSG00000057663	2	2	2
ENSG00000100311	ENSG00000187498	1	2	2
ENSG00000163346	ENSG00000183735	1	2	2
ENSG00000123240	ENSG00000183735	10	7	15
ENSG00000010810	ENSG00000076641	2	3	3
ENSG00000076641	ENSG00000097007	1	2	2
ENSG00000076641	ENSG00000109062	1	3	3
ENSG00000183735	ENSG00000183735	6	6	8
ENSG00000141582	ENSG00000159692	6	4	6
ENSG00000128573	ENSG00000159692	2	2	3
ENSG00000029534	ENSG00000154358	3	3	5
ENSG00000157601	ENSG00000204209	2	1	2
ENSG00000077080	ENSG00000159692	1	2	2
ENSG00000121774	ENSG00000176105	2	3	3
ENSG00000182481	ENSG00000182521	1	2	2
ENSG00000034713	ENSG00000163625	1	3	3
ENSG00000113558	ENSG00000165416	3	3	4
ENSG00000120149	ENSG00000163132	1	2	2
ENSG00000101336	ENSG00000121774	5	5	6
ENSG00000124356	ENSG00000150991	11	3	12
ENSG00000023287	ENSG00000143207	1	2	2
ENSG00000036448	ENSG00000135636	1	2	2
ENSG00000186153	ENSG00000189067	1	3	3
ENSG00000130726	ENSG00000221867	2	2	2
ENSG00000097007	ENSG00000150991	1	2	2
ENSG00000094916	ENSG00000130726	14	5	15
ENSG00000036448	ENSG00000196218	1	2	2
ENSG00000036448	ENSG00000077522	1	2	2
ENSG00000063978	ENSG00000130726	2	3	3
ENSG00000136560	ENSG00000185507	1	2	2
ENSG00000186153	ENSG00000239779	2	4	4
ENSG00000145041	ENSG00000186575	5	3	6
ENSG00000184216	ENSG00000185507	2	5	5
ENSG00000023287	ENSG00000175224	3	3	3
ENSG00000023287	ENSG00000177169	3	3	3
ENSG00000130726	ENSG00000182511	1	3	3
ENSG00000036672	ENSG00000150991	10	3	11
ENSG00000123191	ENSG00000173221	1	2	2
ENSG00000118407	ENSG00000185122	1	2	2
ENSG00000115145	ENSG00000150991	5	3	6
ENSG00000130726	ENSG00000256223	6	3	6
ENSG00000023287	ENSG00000168036	1	2	2
ENSG00000204209	ENSG00000274618	6	5	8
ENSG00000123374	ENSG00000175305	9	7	11
ENSG00000023287	ENSG00000120899	1	2	2
ENSG00000023287	ENSG00000085978	5	5	7
ENSG00000104517	ENSG00000150991	1	2	2
ENSG00000107372	ENSG00000150991	2	3	3
ENSG00000188612	ENSG00000204209	5	4	7
ENSG00000130726	ENSG00000130726	7	5	8
ENSG00000121774	ENSG00000158092	3	3	4
ENSG00000163513	ENSG00000204209	1	2	2
ENSG00000150991	ENSG00000150991	5	3	6
ENSG00000135100	ENSG00000166228	4	4	5
ENSG00000033800	ENSG00000065029	1	2	2
ENSG00000065029	ENSG00000112592	2	2	3
ENSG00000131773	ENSG00000206075	1	2	2
ENSG00000125952	ENSG00000213347	6	3	6
ENSG00000129993	ENSG00000198740	1	2	2
