ad_orf_id	db_orf_id	final_score	source
56677	13531	NA	Lit-BM-HT-17
10354	1660	0	Lit-BM-HT-17
4728	56344	0	Lit-BM-HT-17
100009142	100009142	0	Lit-BM-HT-17
6012	909	0	Lit-BM-HT-17
2483	100070227	0	Lit-BM-HT-17
5864	4828	0	Lit-BM-HT-17
5743	478	0	Lit-BM-HT-17
5175	5441	0	Lit-BM-HT-17
100068218	7076	0	Lit-BM-HT-17
71264	11636	0	Lit-BM-HT-17
11545	5743	1	Lit-BM-HT-17
100067112	12472	0	Lit-BM-HT-17
52973	71385	NA	Lit-BM-HT-17
909	6012	NA	Lit-BM-HT-17
10820	2561	0	Lit-BM-HT-17
113	56157	0	Lit-BM-HT-17
14543	4808	0	Lit-BM-HT-17
3154	9897	0	Lit-BM-HT-17
6504	100009950	NA	Lit-BM-HT-17
4983	14543	0	Lit-BM-HT-17
2709	100015498	0	Lit-BM-HT-17
55203	2870	NA	Lit-BM-HT-17
12462	55203	0	Lit-BM-HT-17
12042	55203	0	Lit-BM-HT-17
100070284	333	0	Lit-BM-HT-17
11727	6970	0	Lit-BM-HT-17
7699	6708	NA	Lit-BM-HT-17
56861	11805	1	Lit-BM-HT-17
14638	14543	0	Lit-BM-HT-17
14543	8904	0	Lit-BM-HT-17
6832	3952	0	Lit-BM-HT-17
3152	3192	0	Lit-BM-HT-17
13962	5348	0	Lit-BM-HT-17
100009829	6970	0	Lit-BM-HT-17
2500	4919	0	Lit-BM-HT-17
55203	5059	NA	Lit-BM-HT-17
4421	4421	0	Lit-BM-HT-17
4333	4333	0	Lit-BM-HT-17
12344	1884	0	Lit-BM-HT-17
5348	13962	0	Lit-BM-HT-17
5125	3425	1	Lit-BM-HT-17
5066	5219	0	Lit-BM-HT-17
71184	5001	0	Lit-BM-HT-17
7076	6578	1	Lit-BM-HT-17
14671	100011238	0	Lit-BM-HT-17
6982	100009344	0	Lit-BM-HT-17
14543	14638	0	Lit-BM-HT-17
3039	8065	0	Lit-BM-HT-17
9864	1919	1	Lit-BM-HT-17
6432	11747	NA	Lit-BM-HT-17
2863	100062227	0	Lit-BM-HT-17
4702	14543	NA	Lit-BM-HT-17
4551	55699	0	Lit-BM-HT-17
55203	12042	0	Lit-BM-HT-17
2311	55203	0	Lit-BM-HT-17
8905	6120	NA	Lit-BM-HT-17
54455	56086	0	Lit-BM-HT-17
1884	12344	0	Lit-BM-HT-17
11804	10412	0	Lit-BM-HT-17
