orf_id_a	orf_id_b	result	source
12578	100064010	0.0	Lit-BS-LT-17
12624	100070216	0.0	Lit-BM-13
12631	100068256	0.0	Lit-BM-13
12635	100009691	0.0	Lit-BS-HT-17
12733	71455	0.0	Lit-BS-LT-17
12747	14730	0.0	Lit-BM-LT-17
12815	53364	0.0	Lit-BM-LT-17
12853	14543	0.0	Lit-BM-HT-17
12865	53867	0.0	Lit-BM-13
12865	71079	0.0	Lit-BM-HT-17
12900	12900	0.0	Lit-BM-13
12915	71933	0.0	Lit-BS-LT-17
13022	100011288	0.0	Lit-BS-HT-17
13118	14956	0.0	Lit-BM-HT-17
13130	100010671		Lit-BM-13
13160	54080	1.0	Lit-BM-LT-17
13182	14758	0.0	Lit-BS-HT-17
13227	71168	0.0	Lit-BM-13
13229	100015982	0.0	Lit-BS-LT-17
13246	13246	0.0	Lit-BS-LT-17
13320	71452	0.0	Lit-NB-17
13561	100009669	0.0	Lit-BS-HT-17
13573	13573	0.0	Lit-BS-LT-17
13611	14225	0.0	Lit-BS-LT-17
13611	54034	0.0	Lit-BS-LT-17
13648	53071	0.0	Lit-NB-17
13748	56227	0.0	Lit-BM-HT-17
13813	54130	0.0	Lit-BM-13
13880	100016179	0.0	Lit-BM-LT-17
13956	100070020	0.0	Lit-BM-13
13972	56919	0.0	Lit-BS-LT-17
14058	14058	0.0	Lit-NB-17
14063	100069073	0.0	Lit-BM-13
14086	14737	0.0	Lit-BS-LT-17
14287	71438	0.0	Lit-BM-13
14374	52920	0.0	Lit-BM-13
